pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
nytimes,5281959998_10151308484864999,10151308484864999_10151308499554999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151308484864999,10151308484864999_10151308622299999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151308886239999,10151308886239999_10151308985359999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151308886239999,10151308886239999_10151309085879999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151309605854999,10151309605854999_10151309610824999,0.0,0.0,0,0.0,2.0,1.0
nytimes,5281959998_10151309605854999,10151309605854999_10151309612584999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151309605854999,10151309605854999_10151309613089999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151309605854999,10151309605854999_10151309620299999,0.0,0.0,0,0.0,2.0,1.0
nytimes,5281959998_10151309605854999,10151309605854999_10151309624619999,0.0,0.0,0,0.0,2.0,1.0
nytimes,5281959998_10151309605854999,10151309605854999_131682560800065,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151309605854999,10151309605854999_1803367939953327,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151309605854999,10151309605854999_1803369643286490,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151309605854999,10151309605854999_279855639178493,0.0,0.0,0,0.0,2.0,1.0
nytimes,5281959998_10151309605854999,10151309605854999_279867429177314,0.0,0.0,0,0.0,1.0,3.0
nytimes,5281959998_10151309605854999,10151309605854999_693978844140311,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151309605854999,10151309605854999_869400793222967,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151310132129999,10151310132129999_10151310143904999,0.0,1.0,0,0.0,2.0,0.0
nytimes,5281959998_10151310132129999,10151310132129999_10151310151719999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151310132129999,10151310132129999_10151310324779999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151310132129999,10151310132129999_116103239139997,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151310132129999,10151310132129999_132910507345608,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151310132129999,10151310132129999_305263939881877,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151310132129999,10151310132129999_401394913596068,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151311025844999,10151311025844999_10151311034334999,0.0,0.0,0,0.0,0.0,3.0
nytimes,5281959998_10151311025844999,10151311025844999_10151311040104999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151311025844999,10151311025844999_10151311064454999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151311025844999,10151311025844999_10151311191984999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151311025844999,10151311025844999_10151311285434999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151311025844999,10151311025844999_127049834688992,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151311025844999,10151311025844999_177611502785297,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151315045359999,10151315045359999_10151315063014999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151315045359999,10151315045359999_10151315075704999,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151315045359999,10151315045359999_1489312451147653,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151315045359999,10151315045359999_1758376357559529,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151315045359999,10151315045359999_279562235879929,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_10151316451979999,10151316451979999_10151316504649999,0.0,0.0,0,0.0,3.0,0.0
