pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
nytimes,5281959998_1919439628273550,1919439628273550_1919493134934866,0.0,0.0,0,0.0,1.0,2.0
nytimes,5281959998_1919439628273550,1919439628273550_1919495388267974,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1919439628273550,1919439628273550_1919512324932947,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1919439628273550,1919439628273550_1919552801595566,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1919439628273550,1919439628273550_1919626888254824,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1919439628273550,1919439628273550_1919691374915042,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1919446624939517,1919446624939517_1919500398267473,0.0,0.0,0,0.0,1.0,2.0
nytimes,5281959998_1919446624939517,1919446624939517_1919506654933514,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1920926231458223,1920926231458223_1920983474785832,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1920926231458223,1920926231458223_1921314108086102,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1921290261421820,1921290261421820_1921452198072293,0.0,0.0,0,0.0,3.0,0.0
nytimes,5281959998_1921313028086210,1921313028086210_1921482488069264,0.0,0.0,0,0.0,0.0,3.0
