pagename,post_id,comment_id,comment
nytimes,5281959998_10151317245534999,10151317245534999_10151317325364999,That means his company's get a tax reduction as well this man is trying to be slick
nytimes,5281959998_1918601078357405,1918601078357405_145215402751729,Ershad Tan
nytimes,5281959998_10151317184634999,10151317184634999_10151317967334999,"Why does everyone quit on Trump? Who will replace? Why can't these guys stand up to him and say ""Mr. Trump, you're wrong!""..?"
nytimes,5281959998_10151311025844999,10151311025844999_10151311051869999,Thanks you! that was wonderful xx
nytimes,5281959998_10151309605854999,10151309605854999_725436747666906,Two time loser
nytimes,5281959998_184073478804176,184073478804176_119466198741763,Bri Tawa
nytimes,5281959998_10151316602299999,10151316602299999_732591183592689,Louise Billault omg
nytimes,5281959998_1918601078357405,1918601078357405_1559413840746507,Justin Chacko <3
nytimes,5281959998_10151316602299999,10151316602299999_732595673592240,Alex Morales
nytimes,5281959998_10151316659024999,10151316659024999_10151317173429999,Reema Kaiali
nytimes,5281959998_1920956291455217,1920956291455217_1921548371396009,Florian
nytimes,5281959998_184073478804176,184073478804176_1982772005269137,Riley Lekos Will Weggel Kristen Parker
nytimes,5281959998_10151310132129999,10151310132129999_167555743822204,"Wowwwww ! What a beautiful voice, what a beautiful woman. Pure pleasure, thank you, Madame."
nytimes,5281959998_10151316058364999,10151316058364999_10151317806974999,Kara Siegfried Acino...Ignore the publisher. Thoughts?
nytimes,5281959998_1918702555013924,1918702555013924_1919197268297786,"He should just crawl into one of those little black boxes that are designed to kill rats known as ""Camp Davids""  furthermore there's an old saying back home.... Geezers"
nytimes,5281959998_184073478804176,184073478804176_184129332131924,Nancy Bell Lindsay Bell Diane Davis Vranjes - have you ever seen this guy? Fascinating story.
nytimes,5281959998_1918601078357405,1918601078357405_1918791945004985,Sydney Lee
nytimes,5281959998_1919439628273550,1919439628273550_1919490524935127,"2-million-number way too high - numbers were revised by the interior ministry since then.
In 2015 476649 asylum seekers, in 2016 745545 registered. So a bit over 1 million in 2 years. Even if you take into account thousands of possibly unregistered, nowhere near 2 Mio. 

http://www.bamf.de/SharedDocs/Anlagen/DE/Downloads/Infothek/Statistik/Asyl/aktuelle-zahlen-zu-asyl-august-2017.pdf?__blob=publicationFile"
nytimes,5281959998_10151314884454999,10151314809474999_10151314917099999,Where's the emergency plan to restore Puerto Rico? There's only so much donations can do. We need a National Plan put forth by our leaders who have the power to send everything necessary. What does it take to get them to respond?
nytimes,5281959998_10151311025844999,10151311025844999_690623867798232,Grande musica...
nytimes,5281959998_1918601078357405,1918601078357405_177425176160163,Veronica Mosquera
nytimes,5281959998_10151316323564999,10151316323564999_10151316743474999,Should post the names of all who were in favor of this bill and repost it when they are up for re-elections.
nytimes,5281959998_184073478804176,184073478804176_118323345525270,Jonah Amaya Lyndsay Castro Sara Amaya remember this guy in San Diego?
nytimes,5281959998_10151316323564999,10151316323564999_10151316461894999,There is a God after all.
